"","CAMIS","DBA","INSPECTION.DATE","GRADE","INSPECTION.TYPE","SCORE"
"256","40371684","LIBERMAN'S LUNCHEONETTE","11/19/2018","A","Cycle Inspection / Initial Inspection",9
"257","40371718","ZAFI'S LUNCHEONETTE","04/30/2018","A","Cycle Inspection / Initial Inspection",3
"258","40371727","LA PALINA RESTAURANT","12/06/2018","A","Cycle Inspection / Re-inspection",9
"259","40371805","TY'S","11/08/2018","A","Cycle Inspection / Initial Inspection",6
"260","40371906","MARINER INN","05/22/2018","A","Cycle Inspection / Initial Inspection",11
"261","40371988","NORTH SHORE DINER","02/15/2019","A","Cycle Inspection / Initial Inspection",10
"262","40372112","GREEN HOUSE CAFE","07/18/2018","A","Cycle Inspection / Initial Inspection",12
"263","40372196","MCDONALD'S","02/04/2019","A","Cycle Inspection / Re-inspection",7
"264","40372262","LA RIPAILLE RESTAURANT","09/26/2018","A","Cycle Inspection / Initial Inspection",13
"265","40372357","MARINA CAFE","01/17/2018","A","Cycle Inspection / Initial Inspection",12
"266","40372417","DON FILIPPO RESTAURANT","01/07/2019","A","Cycle Inspection / Re-inspection",7
"267","40372422","BURGER KING","02/08/2019","A","Cycle Inspection / Initial Inspection",5
"268","40372426","DAZIES RESTAURANT","02/16/2018","A","Cycle Inspection / Initial Inspection",13
"269","40372445","OMONIA CAFE","07/18/2018","A","Cycle Inspection / Initial Inspection",12
"270","40372466","MURALS ON 54/RANDOLPH'S","02/08/2019","A","Cycle Inspection / Initial Inspection",11
"271","40372485","VETERANS OF FOREIGN WARS POST #107 CANTEEN","07/25/2018","A","Cycle Inspection / Initial Inspection",2
"272","40372596","TROPICAL HOUSE BAKING CO.","09/10/2018","A","Cycle Inspection / Initial Inspection",2
"273","40372618","BURGER KING","11/30/2018","A","Cycle Inspection / Re-inspection",12
"274","40372631","YANKEE JZ PIZZA","10/15/2018","B","Cycle Inspection / Re-inspection",21
"275","40372694","CLINTON RESTAURANT","10/30/2018","A","Cycle Inspection / Initial Inspection",12
"276","40372971","RACQUET & TENNIS CLUB","12/11/2018","A","Cycle Inspection / Re-inspection",7
"277","40373113","ASTRO RESTAURANT","01/03/2019","A","Cycle Inspection / Initial Inspection",12
"278","40373118","GOLDEN DOVE DINER","02/27/2019","A","Cycle Inspection / Initial Inspection",13
"279","40373160","KORNER PIZZERIA","10/13/2018","A","Cycle Inspection / Initial Inspection",13
"280","40373272","HENRY'S END","01/30/2018","A","Cycle Inspection / Initial Inspection",13
"281","40373462","VILLA BERULIA","02/14/2019","A","Cycle Inspection / Initial Inspection",9
"282","40373500","VICTOR'S CAFE","04/02/2019","A","Cycle Inspection / Re-inspection",4
"283","40373597","PETES PIZZERIA & RESTAURANT","10/31/2018","A","Cycle Inspection / Initial Inspection",10
"284","40373656","KEENS STEAKHOUSE","07/18/2018","A","Cycle Inspection / Initial Inspection",13
"285","40373669","BuBo","05/24/2018","A","Cycle Inspection / Initial Inspection",5
