"","CAMIS","DBA","BUILDING","STREET","ADDRESS_Ext","lon","lat"
"2876",40947919,"DOS CAMINOS SOHO","475","WEST BROADWAY","475,WEST BROADWAY,New York, NY",-73.999915,40.7266115
"2877",40947943,"WORLDS FAIR MARINA RESTAURANT & BANQUET","1","WORLDS FAIR MARINA","1,WORLDS FAIR MARINA,New York, NY",-73.857806,40.761224
"2878",40947971,"K & Q RESTARUANT","706","BURKE AVENUE","706,BURKE AVENUE,New York, NY",-73.8667848,40.8712699
"2879",40948100,"BLUE SKY BAKERY","53","5 AVENUE","53,5 AVENUE,New York, NY",-73.9943748,40.7348633
"2880",40948362,"FRANCHIA","12","PARK AVENUE","12,PARK AVENUE,New York, NY",-73.9813014,40.7475836
"2881",40948382,"NEW COUNTRY HOUSE","887","FULTON STREET","887,FULTON STREET,New York, NY",-73.9676444,40.6838129
"2882",40948401,"EUROPA BAKERY & PASTRY SHOP","2007","65 STREET","2007,65 STREET,New York, NY",-73.9638425,40.7653068
"2883",40948509,"GOLDEN KRUST CARIBBEAN BAKERY & GRILL","1936","RALPH AVENUE","1936,RALPH AVENUE,New York, NY",-73.9191268,40.6303261
"2884",40948592,"NATIONAL GRID","1","METROTECH","1,METROTECH,New York, NY",-73.9866365,40.6931259
"2885",40948625,"SUMMER GARDEN","10","WEST   50 STREET","10,WEST   50 STREET,New York, NY",-73.9773671,40.7586118
"2886",40948723,"PAQUITO'S","143","1 AVENUE","143,1 AVENUE,New York, NY",-73.9852297,40.7281409
"2887",40948868,"SALERNO PASTRY CAFE","15371","CROSS ISLAND PARKWAY","15371,CROSS ISLAND PARKWAY,New York, NY",-73.8090232,40.7890049
"2888",40949396,"ROCK CENTER CAFE","610","5 AVENUE","610,5 AVENUE,New York, NY",-73.9780164,40.7582432
"2889",40949441,"THE SEA GRILL","19","WEST   49 STREET","19,WEST   49 STREET,New York, NY",-73.9784907,40.7583717
"2890",40949448,"BRASSERIE 8 1/2","9","WEST   57 STREET","9,WEST   57 STREET,New York, NY",-73.9748031,40.7638656
